Category,No.,Type,Description,Recommendation
Reentrancy,1,Reentrancy Vulnerability with Negative Events,"A state variable is changed after a contract calls another contract function. The target contract can callback and reenter before the state variable is updated. This may lead to an unexpected result.

For example:
```solidity
function withdrawBalance(){
  // send userBalance[msg.sender] Ether to msg.sender
  // if mgs.sender is a contract, it will call its fallback function
  if( ! (msg.sender.call.value(userBalance[msg.sender])() ) ){
      throw;
  }
  userBalance[msg.sender] = 0;
}
```
`msg.sender` can reenter the withdrawBalance function and withdraw all ether in the contract.",Apply the [`check-effects-interactions pattern`](http://solidity.readthedocs.io/en/v0.4.21/security-considerations.html#re-entrancy).
Reentrancy,2,Reentrancy Vulnerability with Transfer,"A state variable is changed after a contract calls another contract function. The target contract can callback and reenter before the state variable is updated. This may lead to an unexpected result.

For example:
```solidity
function withdrawBalance(){
  // send userBalance[msg.sender] Ether to msg.sender
  // if mgs.sender is a contract, it will call its fallback function
  if( ! (msg.sender.call.value(userBalance[msg.sender])() ) ){
      throw;
  }
  userBalance[msg.sender] = 0;
}
```
`msg.sender` can reenter the withdrawBalance function and withdraw all ether in the contract.",Apply the [`check-effects-interactions pattern`](http://solidity.readthedocs.io/en/v0.4.21/security-considerations.html#re-entrancy).
Reentrancy,3,Reentrancy Vulnerability with Same Effect,"A state variable is changed after a contract calls another contract function. The target contract can callback and reenter before the state variable is updated. This may lead to an unexpected result.

For example:
```solidity
function withdrawBalance(){
  // send userBalance[msg.sender] Ether to msg.sender
  // if mgs.sender is a contract, it will call its fallback function
  if( ! (msg.sender.call.value(userBalance[msg.sender])() ) ){
      throw;
  }
  userBalance[msg.sender] = 0;
}
```
`msg.sender` can reenter the withdrawBalance function and withdraw all ether in the contract.",Apply the [`check-effects-interactions pattern`](http://solidity.readthedocs.io/en/v0.4.21/security-considerations.html#re-entrancy).
Reentrancy,4,Reentrancy Vulnerability with ETH Transfer,"A state variable is changed after a contract calls another contract function. The target contract can callback and reenter before the state variable is updated. This may lead to an unexpected result.

For example:
```solidity
function withdrawBalance(){
  // send userBalance[msg.sender] Ether to msg.sender
  // if mgs.sender is a contract, it will call its fallback function
  if( ! (msg.sender.call.value(userBalance[msg.sender])() ) ){
      throw;
  }
  userBalance[msg.sender] = 0;
}
```
`msg.sender` can reenter the withdrawBalance function and withdraw all ether in the contract.",Apply the [`check-effects-interactions pattern`](http://solidity.readthedocs.io/en/v0.4.21/security-considerations.html#re-entrancy).
Reentrancy,5,Reentrancy Vulnerability without ETH Transfer,"A state variable is changed after a contract calls another contract function. The target contract can callback and reenter before the state variable is updated. This may lead to an unexpected result.

For example:
```solidity
function withdrawBalance(){
  // send userBalance[msg.sender] Ether to msg.sender
  // if mgs.sender is a contract, it will call its fallback function
  if( ! (msg.sender.call.value(userBalance[msg.sender])() ) ){
      throw;
  }
  userBalance[msg.sender] = 0;
}
```
`msg.sender` can reenter the withdrawBalance function and withdraw all ether in the contract.",Apply the [`check-effects-interactions pattern`](http://solidity.readthedocs.io/en/v0.4.21/security-considerations.html#re-entrancy).
Storage & Memory,1,Arbitrary Function Jump via Inline Assembly,"The inline assembly can modify the logic of the `memory` function type by changing the corresponding memory, which may cause unexpected behavior.",Should not modify the function type by the inline assembly that may cause unexpected behavior.
Storage & Memory,2,Bytes Variables Risk,"The `msg.data` apply ABI encode. So if the data is too long or short but still validated, the bytes of an ABI-encoded variable will, whether padding or truncating the low-order bytes. So that different msg.data might produce the same value assigned.",Check the input from ABI function and ensure the length of msg.data  is legitimate.
Storage & Memory,3,Dangerous Usage of `msg.value` inside a Loop,"Detect the use of `msg.value` inside a loop.

For example:
```solidity
contract MsgValueInLoop{
    mapping (address => uint256) balances;

    function bad(address[] memory receivers) public payable {
        for (uint256 i=0; i < receivers.length; i++) {
            balances[receivers[i]] += msg.value;
        }
    }
}
```",Track `msg.value` through a local variable and decrease its amount on every iteration/usage.
Storage & Memory,4,Error-prone Assembly Usage,The use of assembly is error-prone and should be avoided.,"We advise against using EVM assembly, as it is error-prone."
Storage & Memory,5,Memory Manipulation,"Memory Manipulation: This vulnerability occurs when a contract's memory-related operations are improperly handled, leading to unintended behavior or potential security risks. Memory manipulation vulnerabilities can result from incorrect access or modification of memory storage, causing unexpected outcomes.

For example:

```solidity
contract MemoryManipulation {
    uint256 public value;

    function setValue(uint256 _value) public {
        uint256[] memory array = new uint256[](1);
        array[0] = _value;
        assembly {
            mstore(add(value, 0x20), mload(add(array, 0x20)))
        }
    }
}
```

In this example, the memory manipulation vulnerability is demonstrated through the use of inline assembly to modify the contract's `value` state variable. The misuse of memory operations in this manner can lead to unintended behavior or potential security risks.","Avoid using low-level assembly operations for memory manipulation whenever possible. Instead, rely on Solidity's built-in functions and language constructs to handle memory operations safely and correctly. In cases where assembly is unavoidable, thoroughly review and test the code to ensure proper memory handling and prevent unintended behavior."
Storage & Memory,6,Modifying storage array by value,"When arrays are passed to a function that expects a reference to a storage array, they should be tested to make sure the expected result. Usually, memory is used in function parameters, and assignment to storage variables should be made in a function body.",Ensure the correct usage of memory and storage in the function parameters. Make all the locations explicit.
Storage & Memory,7,Payable Functions using `delegatecall` inside a Loop,"Detect `delegatecall` inside a loop in a payable function. When using `delegatecall` in a payable function, the msg.value will be passed to the target contract. The amount or balance will be accredited multiple times if we use this inside a loop.

For example:

```solidity
contract DelegatecallInLoop{

    mapping (address => uint256) balances;

    function bad(address[] memory receivers) public payable {
        for (uint256 i = 0; i < receivers.length; i++) {
            address(this).delegatecall(abi.encodeWithSignature(""addBalance(address)"", receivers[i]));
        }
    }

    function addBalance(address a) public payable {
        balances[a] += msg.value;
    } 

}
```
When calling bad the same `msg.value` amount will be accredited multiple times.",Carefully check that the function called by `delegatecall` is not payable/doesn't use `msg.value`
